loan_amnt,term,int_rate,installment,grade,emp_length,annual_inc,dti,home_ownership,purpose,open_acc,revol_bal,revol_util,total_acc,delinq_2yrs,pub_rec,mort_acc,default
11215.0,60,26.39,338.38,G,6,59870.0,4.44,MORTGAGE,car,16,13971.0,73.7,29,1,0,1,0
9311.0,60,14.12,217.23,C,3,62310.0,6.43,MORTGAGE,major_purchase,15,5429.0,56.4,28,1,0,0,0
40000.0,36,26.2,1615.89,G,3,39516.0,39.61,RENT,home_improvement,11,71821.0,73.0,18,2,0,1,1
13252.0,36,6.74,407.61,A,7,113575.0,35.28,MORTGAGE,debt_consolidation,15,7754.0,3.7,23,0,0,1,0
7082.0,36,21.45,268.45,E,4,169890.0,28.29,MORTGAGE,debt_consolidation,15,1826.0,40.0,26,0,0,1,0
21884.0,60,21.92,603.42,E,8,54270.0,6.04,MORTGAGE,home_improvement,6,14478.0,95.4,15,0,0,2,0
6422.0,60,27.93,199.68,G,4,43789.0,9.62,RENT,debt_consolidation,17,8733.0,76.2,31,0,0,1,0
15143.0,36,22.68,583.66,F,1,73489.0,7.21,MORTGAGE,car,8,4348.0,48.3,13,0,0,2,0
4122.0,60,13.8,95.48,C,4,64690.0,25.24,RENT,other,15,9902.0,70.9,25,0,0,1,0
6021.0,36,17.82,217.13,D,10,44352.0,15.95,MORTGAGE,debt_consolidation,15,23064.0,2.7,27,1,0,0,0
15035.0,60,13.43,345.41,C,9,79437.0,1.91,OWN,debt_consolidation,11,6377.0,29.3,21,2,0,0,0
20808.0,36,9.51,666.64,B,2,105124.0,11.65,RENT,debt_consolidation,17,3118.0,90.3,23,1,0,4,0
14806.0,36,10.72,482.77,B,4,37366.0,34.43,MORTGAGE,small_business,11,9966.0,49.6,20,0,0,2,1
12464.0,36,10.11,402.82,B,10,275191.0,31.84,MORTGAGE,debt_consolidation,13,4264.0,95.3,28,0,0,2,0
11152.0,36,17.62,401.05,D,1,23867.0,25.72,MORTGAGE,debt_consolidation,10,11245.0,26.5,17,0,0,1,0
5502.0,36,25.84,221.21,F,2,35918.0,3.42,RENT,debt_consolidation,8,28767.0,83.4,19,0,0,1,0
8674.0,36,25.99,349.43,F,2,68898.0,35.31,RENT,debt_consolidation,16,2586.0,2.0,25,2,0,2,1
10134.0,36,6.26,309.49,A,6,230527.0,21.38,MORTGAGE,home_improvement,16,1279.0,0.4,27,1,0,0,0
25192.0,36,6.84,776.01,A,4,42721.0,19.78,RENT,home_improvement,6,80225.0,13.7,19,0,0,4,0
16419.0,36,10.64,534.74,B,0,31589.0,37.36,MORTGAGE,credit_card,8,9255.0,26.2,22,0,0,0,1
4639.0,60,10.87,100.56,B,6,83245.0,0.35,OWN,other,15,2330.0,4.3,23,0,0,2,0
16227.0,36,7.18,502.38,A,1,51578.0,22.24,RENT,credit_card,9,2977.0,21.1,13,0,0,2,0
10604.0,36,13.93,362.06,C,6,89246.0,31.65,MORTGAGE,car,6,5040.0,87.3,13,0,0,3,0
8900.0,36,18.52,324.08,D,5,57385.0,2.55,RENT,other,13,10961.0,91.5,23,0,0,1,0
19284.0,36,18.3,700.07,D,5,35800.0,14.29,MORTGAGE,debt_consolidation,12,723.0,11.8,21,1,0,2,0
24800.0,60,17.5,623.03,D,0,245076.0,39.1,RENT,debt_consolidation,9,16297.0,31.5,17,0,0,3,1
23360.0,60,12.79,529.0,C,6,10172.0,8.47,OWN,credit_card,12,4076.0,61.0,19,1,0,2,0
8075.0,36,21.25,305.26,E,4,178464.0,21.25,RENT,debt_consolidation,14,35711.0,66.1,21,0,0,0,0
11097.0,60,24.01,319.3,F,4,104816.0,29.84,MORTGAGE,credit_card,14,11922.0,2.8,24,0,0,2,1
16297.0,60,12.96,370.47,C,6,38279.0,15.61,MORTGAGE,home_improvement,10,19819.0,91.2,17,1,0,2,1
23988.0,60,6.97,474.65,A,6,184140.0,16.31,MORTGAGE,debt_consolidation,7,6412.0,42.7,18,1,0,1,0
10022.0,36,11.82,332.01,B,0,26295.0,2.53,MORTGAGE,home_improvement,19,10355.0,44.1,26,0,0,3,0
11951.0,36,8.16,375.38,A,1,109630.0,7.6,MORTGAGE,debt_consolidation,16,32347.0,8.6,28,0,0,0,0
6879.0,36,15.75,241.0,D,2,17161.0,35.22,MORTGAGE,debt_consolidation,13,3456.0,52.5,29,0,0,3,0
6518.0,36,8.59,206.03,B,7,30106.0,32.73,OWN,major_purchase,16,12608.0,58.8,24,0,0,1,0
21753.0,36,15.65,761.02,D,6,30061.0,12.19,MORTGAGE,debt_consolidation,14,13849.0,45.7,24,0,0,0,0
30144.0,36,10.08,973.79,B,8,38162.0,15.27,MORTGAGE,credit_card,15,31649.0,88.8,20,2,0,5,0
12795.0,36,21.99,488.58,E,8,60292.0,17.62,MORTGAGE,credit_card,10,4269.0,10.9,19,0,1,1,0
24395.0,36,5.63,738.06,A,9,36476.0,13.84,RENT,debt_consolidation,16,3469.0,18.5,22,0,0,1,0
16597.0,36,17.76,598.02,D,3,17644.0,26.16,MORTGAGE,debt_consolidation,13,26614.0,37.5,21,0,0,1,0
9072.0,36,8.9,288.07,B,3,79069.0,0.51,RENT,home_improvement,11,6470.0,60.9,21,0,0,1,0
16595.0,60,5.02,313.32,A,9,61659.0,35.21,MORTGAGE,credit_card,16,3298.0,42.4,32,1,0,1,0
33618.0,60,24.99,986.54,F,2,76524.0,12.03,MORTGAGE,home_improvement,5,4937.0,85.1,14,0,0,1,0
13076.0,36,20.45,488.95,E,4,66380.0,34.89,MORTGAGE,car,7,2027.0,21.3,15,0,0,3,1
34159.0,36,7.28,1059.11,A,1,106143.0,18.18,RENT,debt_consolidation,12,7880.0,24.0,21,0,0,1,0
2774.0,36,20.27,103.47,E,10,57223.0,31.05,MORTGAGE,debt_consolidation,11,454.0,89.2,24,0,0,1,0
21876.0,36,19.07,802.66,E,4,109920.0,33.03,MORTGAGE,home_improvement,8,10571.0,46.8,14,0,0,0,0
14076.0,60,15.89,341.48,D,2,37593.0,12.05,MORTGAGE,small_business,11,1734.0,65.2,26,1,0,4,0
11166.0,36,14.64,385.11,C,7,38902.0,25.61,MORTGAGE,debt_consolidation,11,28815.0,37.6,22,1,0,0,0
14116.0,36,25.4,564.24,F,2,136711.0,24.3,RENT,debt_consolidation,16,4001.0,37.5,26,0,0,2,0
4054.0,60,10.64,87.42,B,10,135050.0,19.04,RENT,credit_card,11,3540.0,14.5,19,0,0,0,0
11710.0,36,14.16,401.13,C,3,84478.0,18.78,RENT,credit_card,6,8451.0,88.7,16,2,0,3,0
16552.0,36,12.57,554.28,C,7,35120.0,12.21,MORTGAGE,credit_card,18,12009.0,82.6,32,0,0,2,1
32427.0,36,22.74,1250.85,F,3,33464.0,12.41,RENT,car,6,8395.0,53.6,20,0,1,3,0
9789.0,36,26.08,394.82,G,9,132832.0,21.93,MORTGAGE,debt_consolidation,15,1602.0,3.9,31,0,0,1,1
8225.0,36,24.54,325.03,F,10,128489.0,1.29,MORTGAGE,home_improvement,9,9114.0,22.5,16,0,0,1,0
9887.0,36,23.35,384.53,F,9,57633.0,37.35,OWN,major_purchase,9,7488.0,19.1,23,0,0,0,1
23138.0,36,27.7,953.32,G,9,244051.0,26.0,RENT,medical,11,7208.0,53.7,23,0,0,2,0
16273.0,60,21.03,440.51,E,1,78853.0,17.74,OWN,other,12,14457.0,15.8,21,0,0,3,0
9722.0,36,22.27,372.65,E,10,30813.0,2.47,MORTGAGE,credit_card,7,3739.0,43.3,17,0,0,1,0
18178.0,60,27.6,561.61,G,6,50748.0,25.2,OWN,debt_consolidation,11,2611.0,19.5,23,0,0,2,0
14161.0,36,5.16,425.44,A,10,60071.0,0.71,RENT,credit_card,3,14985.0,28.6,7,2,1,3,0
23889.0,36,19.58,882.7,E,7,63060.0,27.19,MORTGAGE,major_purchase,6,1154.0,30.1,14,0,0,3,0
8767.0,36,22.0,334.82,E,2,126754.0,2.9,MORTGAGE,debt_consolidation,9,10754.0,22.7,24,0,0,3,0
10975.0,36,26.11,442.83,G,6,33733.0,26.24,RENT,debt_consolidation,11,2411.0,26.3,20,0,0,2,1
10559.0,36,25.33,421.67,F,1,26933.0,16.24,RENT,medical,5,32939.0,15.4,18,0,0,0,0
5552.0,36,24.37,218.9,F,7,85939.0,26.51,OWN,debt_consolidation,17,1891.0,77.3,20,0,0,1,0
15957.0,60,26.75,484.87,G,4,44170.0,5.54,RENT,debt_consolidation,9,1932.0,97.3,23,1,1,1,1
15625.0,36,17.36,559.88,D,1,256300.0,4.7,RENT,other,7,83266.0,78.2,14,0,2,3,0
13401.0,36,5.16,402.6,A,10,105444.0,9.9,OWN,debt_consolidation,7,28642.0,36.6,22,0,0,0,0
11606.0,60,5.25,220.35,A,10,43685.0,16.46,RENT,debt_consolidation,17,3616.0,75.6,21,0,0,1,0
5715.0,36,17.53,205.27,D,10,123960.0,10.12,RENT,other,11,2354.0,6.3,20,1,0,0,0
10380.0,36,15.01,359.88,C,9,92804.0,3.28,MORTGAGE,debt_consolidation,9,3209.0,35.4,18,0,0,2,0
10877.0,36,15.38,379.08,C,7,87572.0,13.0,MORTGAGE,credit_card,6,11617.0,39.7,13,0,0,4,0
8255.0,36,14.21,282.98,C,7,55640.0,28.23,MORTGAGE,credit_card,5,10768.0,1.3,16,0,0,1,0
12127.0,36,26.11,489.32,G,1,77055.0,23.32,MORTGAGE,car,15,5438.0,95.0,21,0,0,2,0
17025.0,36,13.26,575.77,C,10,16953.0,38.53,MORTGAGE,debt_consolidation,8,45058.0,46.4,18,0,0,4,0
40000.0,36,24.69,1583.84,F,10,131960.0,17.44,RENT,debt_consolidation,9,3692.0,98.8,19,1,0,4,0
14835.0,36,25.77,595.9,F,8,10000.0,13.31,OWN,credit_card,10,1224.0,27.9,18,0,0,0,0
15592.0,36,16.49,551.95,D,10,45923.0,27.75,MORTGAGE,debt_consolidation,12,116973.0,97.9,21,0,0,2,0
12776.0,60,15.28,305.82,C,5,22984.0,16.48,MORTGAGE,debt_consolidation,11,20227.0,61.3,18,0,0,3,0
4225.0,60,22.5,117.89,F,4,44333.0,24.73,MORTGAGE,debt_consolidation,12,6601.0,41.6,22,0,0,3,0
13149.0,36,21.28,497.28,E,10,57270.0,37.85,RENT,other,12,9982.0,83.2,22,0,0,3,0
13851.0,36,12.56,463.76,C,4,29200.0,19.97,MORTGAGE,debt_consolidation,8,9143.0,54.2,16,0,0,3,0
40000.0,60,7.36,798.86,A,7,11331.0,19.93,RENT,debt_consolidation,9,1599.0,82.7,20,0,0,0,0
11903.0,36,11.09,390.2,B,3,67795.0,31.01,MORTGAGE,debt_consolidation,9,7968.0,50.6,24,1,0,3,1
16009.0,36,8.01,501.74,A,6,209371.0,30.24,MORTGAGE,credit_card,14,12483.0,41.9,24,0,1,0,0
13084.0,36,11.78,433.2,B,8,48496.0,20.65,MORTGAGE,debt_consolidation,7,11889.0,60.8,16,0,1,0,0
6626.0,60,11.02,144.13,B,6,106468.0,2.59,RENT,credit_card,12,747.0,75.6,22,1,0,0,0
26521.0,36,19.67,981.16,E,5,147655.0,39.23,MORTGAGE,car,9,9781.0,4.7,16,0,0,2,0
20977.0,60,26.95,639.91,G,3,19148.0,15.09,MORTGAGE,debt_consolidation,9,12899.0,40.3,16,0,0,1,0
21474.0,36,20.77,806.5,E,7,45508.0,12.67,MORTGAGE,debt_consolidation,14,7703.0,16.9,20,1,0,1,0
7742.0,36,26.31,313.21,G,10,27838.0,39.26,MORTGAGE,debt_consolidation,9,2405.0,95.0,18,0,1,0,1
30998.0,36,23.04,1200.57,F,0,36910.0,34.89,MORTGAGE,debt_consolidation,9,30071.0,97.2,18,1,1,4,1
5761.0,36,21.74,219.24,E,1,166243.0,13.21,MORTGAGE,major_purchase,8,7836.0,91.0,21,0,0,3,0
18998.0,60,14.52,447.19,C,1,68474.0,12.33,MORTGAGE,debt_consolidation,11,6543.0,51.3,22,1,0,0,0
40000.0,60,12.47,899.31,C,10,96114.0,28.84,RENT,small_business,12,6933.0,75.6,21,0,0,0,0
7374.0,36,24.46,291.09,F,7,58318.0,13.37,OWN,car,8,1872.0,92.2,19,0,0,1,0
9511.0,60,25.82,283.75,F,10,28960.0,10.06,MORTGAGE,debt_consolidation,6,57245.0,87.2,18,0,0,1,1
14183.0,60,15.39,340.32,C,6,89937.0,39.19,OWN,medical,13,25075.0,53.6,18,0,0,1,1
9877.0,36,5.21,296.95,A,4,126950.0,22.63,RENT,debt_consolidation,6,4064.0,14.9,15,1,0,1,0
5269.0,36,23.23,204.59,F,9,72434.0,30.5,RENT,home_improvement,9,1183.0,91.0,15,2,0,1,1
13921.0,36,11.56,459.46,B,1,80296.0,28.52,MORTGAGE,debt_consolidation,14,13725.0,82.1,21,0,0,1,0
7063.0,36,5.23,212.41,A,3,28542.0,30.22,RENT,debt_consolidation,14,17124.0,40.1,28,1,0,2,0
17750.0,36,23.51,691.82,F,4,91502.0,36.14,RENT,debt_consolidation,11,8651.0,46.4,22,0,0,1,0
7695.0,36,16.9,273.96,D,2,134270.0,20.03,RENT,debt_consolidation,10,5790.0,98.9,22,1,0,1,0
33859.0,36,20.76,1271.47,E,3,76325.0,30.14,MORTGAGE,other,9,1531.0,60.1,18,0,0,1,0
8350.0,60,26.04,250.2,G,0,20372.0,31.87,RENT,debt_consolidation,14,14743.0,16.9,21,0,0,2,1
11012.0,60,17.45,276.35,D,1,159752.0,37.86,MORTGAGE,medical,9,1506.0,16.4,15,0,0,1,0
21766.0,36,16.57,771.37,D,3,33966.0,28.52,MORTGAGE,medical,14,10676.0,6.5,20,1,0,3,1
6384.0,36,11.69,211.1,B,9,75559.0,35.7,RENT,debt_consolidation,8,16758.0,58.8,14,1,0,3,0
15313.0,36,12.02,508.76,C,1,106063.0,3.8,MORTGAGE,credit_card,11,5957.0,2.7,23,1,0,2,0
29269.0,36,23.32,1137.88,F,3,114436.0,5.04,RENT,credit_card,13,6288.0,81.7,19,0,0,0,0
5092.0,36,15.33,177.34,C,0,20332.0,6.33,MORTGAGE,small_business,8,651.0,31.8,16,0,0,2,0
14925.0,36,8.76,472.95,B,5,64237.0,5.79,RENT,debt_consolidation,4,3206.0,34.2,12,0,0,1,0
15614.0,36,7.17,483.33,A,6,61735.0,3.5,RENT,debt_consolidation,14,5021.0,76.1,23,1,0,0,0
21356.0,36,15.88,749.55,D,10,141977.0,4.9,MORTGAGE,debt_consolidation,13,1612.0,10.6,25,0,0,1,0
6360.0,36,15.69,222.63,D,9,78845.0,39.84,RENT,car,6,29229.0,52.8,21,0,1,0,0
6049.0,36,20.03,224.89,E,2,142753.0,10.89,MORTGAGE,debt_consolidation,9,3726.0,37.0,17,0,0,3,0
18273.0,60,15.83,442.72,D,1,82781.0,19.12,MORTGAGE,major_purchase,11,5089.0,10.1,16,0,0,2,0
15966.0,60,8.3,326.03,A,1,57268.0,32.86,MORTGAGE,debt_consolidation,9,48217.0,29.7,18,0,0,2,0
15526.0,36,16.68,551.07,D,10,67260.0,4.73,RENT,major_purchase,9,22506.0,62.9,20,1,0,2,0
16447.0,36,25.86,661.43,F,7,149366.0,12.69,MORTGAGE,medical,11,47016.0,66.3,20,0,0,4,0
8884.0,36,8.67,281.15,B,0,27497.0,6.37,RENT,debt_consolidation,11,29008.0,12.6,18,0,0,2,0
15357.0,36,20.86,577.47,E,1,103112.0,2.5,MORTGAGE,debt_consolidation,19,16212.0,93.9,30,0,1,2,0
15928.0,36,18.66,581.12,D,5,41086.0,38.43,MORTGAGE,home_improvement,17,3633.0,18.3,25,0,0,1,0
8703.0,36,22.22,333.36,E,2,36117.0,34.33,RENT,other,9,1857.0,66.3,18,0,0,1,1
40000.0,60,8.46,819.89,A,9,110642.0,35.17,MORTGAGE,major_purchase,18,17992.0,32.5,30,1,0,2,0
17753.0,36,26.66,721.54,G,6,35247.0,34.75,MORTGAGE,small_business,13,4697.0,70.3,27,0,1,0,1
6537.0,60,19.28,170.58,E,6,75075.0,6.18,MORTGAGE,home_improvement,11,775.0,81.3,18,0,0,1,0
19810.0,36,24.48,782.2,F,4,44651.0,31.4,RENT,debt_consolidation,8,12544.0,8.1,21,0,0,3,0
7444.0,36,10.67,242.55,B,2,14557.0,29.11,RENT,home_improvement,9,10217.0,79.7,24,1,1,0,0
21424.0,36,22.01,818.3,E,6,79748.0,37.02,OWN,debt_consolidation,13,2205.0,12.1,19,0,0,1,0
26773.0,36,22.96,1035.82,F,8,64589.0,8.77,MORTGAGE,credit_card,12,32746.0,51.9,19,0,0,1,1
8165.0,36,14.14,279.62,C,3,19033.0,16.56,MORTGAGE,credit_card,5,3393.0,33.8,21,0,0,3,0
23814.0,36,13.83,811.94,C,5,39373.0,11.8,RENT,medical,7,75200.0,30.7,17,0,0,1,0
17114.0,36,20.13,637.15,E,9,20248.0,10.32,RENT,medical,10,30157.0,15.2,24,0,0,0,0
21878.0,36,7.15,677.03,A,1,92875.0,26.1,RENT,debt_consolidation,5,22263.0,67.7,19,0,0,2,0
40000.0,36,21.92,1525.96,E,5,137695.0,6.56,MORTGAGE,home_improvement,14,4415.0,30.3,21,0,0,1,0
11531.0,60,5.99,222.87,A,3,99677.0,18.59,MORTGAGE,small_business,7,9635.0,50.6,14,1,0,2,0
8499.0,36,9.38,271.77,B,7,108389.0,25.87,RENT,credit_card,9,10598.0,1.5,17,0,0,2,0
7834.0,36,20.28,292.26,E,0,43884.0,5.21,MORTGAGE,debt_consolidation,10,6063.0,60.4,20,1,0,0,0
8189.0,36,7.26,253.83,A,7,83130.0,10.28,MORTGAGE,debt_consolidation,14,8236.0,67.7,27,0,1,2,0
12756.0,60,27.35,392.18,G,1,59549.0,38.69,OWN,debt_consolidation,10,45833.0,6.2,20,0,0,1,0
16394.0,36,24.97,651.56,F,0,66916.0,31.82,MORTGAGE,home_improvement,8,4029.0,53.3,17,1,0,1,0
15772.0,36,19.4,581.33,E,8,106347.0,27.08,MORTGAGE,debt_consolidation,12,12796.0,71.4,26,1,0,2,0
21945.0,36,23.84,859.12,F,7,121212.0,34.24,OWN,credit_card,9,4609.0,14.2,22,0,0,1,1
13464.0,36,25.41,538.25,F,10,47389.0,0.56,MORTGAGE,debt_consolidation,8,1679.0,4.4,21,1,0,2,0
31956.0,36,10.97,1045.74,B,5,25730.0,0.24,MORTGAGE,debt_consolidation,14,23420.0,19.4,26,0,0,0,0
11398.0,60,24.54,331.48,F,5,53506.0,6.16,RENT,debt_consolidation,11,12139.0,35.2,18,0,0,0,0
40000.0,60,9.48,839.68,B,7,52493.0,19.81,MORTGAGE,credit_card,8,21681.0,42.7,22,0,0,1,0
19446.0,36,14.51,669.45,C,3,71023.0,22.8,RENT,major_purchase,15,3110.0,7.3,21,0,0,1,0
7988.0,36,17.84,288.14,D,0,98696.0,4.55,MORTGAGE,debt_consolidation,14,4351.0,97.9,20,0,0,1,0
7027.0,36,21.42,266.26,E,2,18982.0,2.89,MORTGAGE,debt_consolidation,8,12020.0,68.9,13,0,0,1,0
17845.0,36,5.69,540.38,A,2,40033.0,33.13,MORTGAGE,home_improvement,7,17559.0,13.4,22,0,0,1,0
11683.0,60,11.68,258.0,B,3,33579.0,18.58,MORTGAGE,other,16,26721.0,79.7,27,1,1,0,0
20505.0,36,19.0,751.63,E,10,126822.0,39.7,RENT,home_improvement,7,7326.0,32.0,17,1,0,1,1
17746.0,36,13.22,599.82,C,9,52838.0,9.17,RENT,medical,15,13408.0,37.5,21,0,0,1,0
12789.0,36,22.83,493.93,F,10,44014.0,25.89,MORTGAGE,other,14,48414.0,7.2,24,0,0,2,0
8038.0,60,19.99,212.91,E,10,82701.0,32.18,MORTGAGE,medical,16,5526.0,42.3,28,1,0,2,0
5383.0,36,10.39,174.68,B,4,41948.0,34.91,MORTGAGE,other,18,10737.0,7.8,26,0,0,1,0
10220.0,36,8.36,321.96,A,2,59331.0,12.25,MORTGAGE,small_business,6,7005.0,68.0,17,0,0,2,0
22333.0,36,19.47,823.96,E,6,177805.0,7.73,RENT,medical,13,9998.0,34.3,23,0,0,0,0
15191.0,36,15.36,529.28,C,10,174866.0,9.04,RENT,credit_card,13,32402.0,29.6,18,0,0,1,0
6327.0,60,8.89,131.0,B,4,46890.0,26.67,MORTGAGE,debt_consolidation,18,4469.0,64.8,37,1,0,4,0
14823.0,36,12.51,495.95,C,5,53669.0,20.89,MORTGAGE,other,13,3490.0,68.8,25,0,1,1,0
16835.0,36,11.97,558.92,B,1,41299.0,23.96,MORTGAGE,debt_consolidation,14,19464.0,63.9,22,0,0,2,0
7861.0,36,7.49,244.49,A,4,18854.0,0.82,OWN,other,11,36670.0,78.9,19,1,0,4,0
14651.0,60,17.58,368.7,D,3,111493.0,15.64,MORTGAGE,debt_consolidation,12,1886.0,63.8,22,0,0,1,0
13835.0,36,22.56,532.38,F,3,255967.0,12.41,RENT,debt_consolidation,13,5777.0,94.5,30,0,0,2,0
6729.0,36,18.24,244.08,D,10,45887.0,34.55,RENT,car,15,11101.0,56.6,29,0,0,3,0
16559.0,36,24.0,649.66,F,0,36678.0,31.05,MORTGAGE,debt_consolidation,12,8473.0,88.5,29,0,0,2,1
18704.0,36,7.93,585.51,A,10,50833.0,17.18,RENT,small_business,6,9315.0,96.1,19,2,0,2,0
25587.0,36,15.02,887.23,C,0,63009.0,25.22,MORTGAGE,debt_consolidation,12,8674.0,16.4,21,0,0,3,0
25142.0,60,19.02,652.47,E,10,30293.0,1.91,RENT,other,9,3888.0,67.7,19,0,0,1,0
5845.0,36,20.55,218.86,E,5,45475.0,25.49,RENT,home_improvement,6,625.0,65.6,15,0,0,2,1
7611.0,36,21.0,286.74,E,7,110077.0,3.89,OWN,debt_consolidation,7,7896.0,86.9,17,1,0,1,0
18197.0,60,21.77,500.2,E,1,64630.0,28.56,MORTGAGE,debt_consolidation,11,6455.0,33.7,17,0,0,0,0
18184.0,36,19.98,675.6,E,7,128313.0,22.95,RENT,credit_card,15,1818.0,39.4,24,3,0,1,0
18197.0,36,7.17,563.29,A,10,74523.0,12.02,RENT,other,11,4106.0,4.7,20,1,0,0,0
40000.0,36,20.99,1506.8,E,1,31152.0,14.83,RENT,credit_card,14,19750.0,76.6,18,1,0,0,1
18817.0,36,21.67,715.42,E,1,42378.0,3.6,RENT,debt_consolidation,9,6658.0,26.6,21,0,0,2,0
26406.0,36,27.85,1090.11,G,3,69498.0,12.91,MORTGAGE,other,11,9767.0,92.9,21,0,0,0,0
23680.0,60,20.95,639.96,E,1,30529.0,38.67,RENT,other,16,2779.0,66.3,24,0,0,0,1
19749.0,60,20.8,532.06,E,1,28243.0,19.45,RENT,small_business,13,14669.0,33.3,22,1,2,1,1
11057.0,36,16.84,393.33,D,7,29281.0,18.97,MORTGAGE,major_purchase,9,74932.0,81.8,23,0,0,1,0
21065.0,36,24.96,837.1,F,2,81592.0,25.17,RENT,debt_consolidation,10,13677.0,81.7,19,0,0,2,1
8403.0,36,27.93,347.26,G,7,48062.0,19.38,MORTGAGE,debt_consolidation,14,12558.0,16.2,27,0,0,2,1
11590.0,36,22.92,448.16,F,10,121718.0,14.22,MORTGAGE,other,14,10421.0,54.2,21,0,0,3,0
9984.0,36,19.09,366.43,E,7,34967.0,5.58,RENT,debt_consolidation,9,4188.0,1.0,13,0,0,1,0
14032.0,36,6.82,432.11,A,1,13706.0,25.21,RENT,debt_consolidation,12,21160.0,34.4,24,0,0,0,0
40000.0,60,21.72,1098.4,E,6,55358.0,29.96,MORTGAGE,credit_card,14,7174.0,69.4,21,1,1,0,1
4357.0,60,21.3,118.61,E,4,160899.0,36.92,MORTGAGE,debt_consolidation,9,45416.0,33.0,28,1,0,3,1
20166.0,36,22.84,778.94,F,3,61129.0,0.12,MORTGAGE,car,10,48370.0,13.4,21,1,1,0,0
5076.0,36,7.86,158.74,A,3,26285.0,2.67,MORTGAGE,debt_consolidation,9,4732.0,57.7,18,0,0,0,0
10065.0,36,20.04,374.26,E,10,22594.0,35.98,OWN,home_improvement,12,17434.0,96.2,20,1,0,1,1
25677.0,60,11.8,568.58,B,8,122853.0,25.25,RENT,home_improvement,12,4502.0,41.3,23,0,0,2,0
